index,Trend Start Time,1M Vol Open,1Y Vol Open,DXY Open,Daily Trend #,Previous Day DXY Trend,Previous Day RR,Previous Day RR MAVG,Previous Day SPY Trend,Trend Start,Trend Type,USDMXNV1M Tick,USDMXNV1Y Tick,SPX Tick,DXY Tick,V1M Change,V1Y Change,DXY Change,SPX Change,Target,MXEF Tick,MXEF CCY Tick,BBDXY Tick,USDMXN RSI,USDMXN MACD,USDMXN ROC 4,USDMXN ROC 10,Day Start,MXEF Change,MXEF CCY Change,BBDXY Change,Abs Max Trend Sz,CCY,Max Trend Size,SPX Open,Trend End Time,Trend Extreme,Target New,Target Dif,RR Divergence
32,2019-05-23 10:38:00,8.762,10.875,98.066,4.0,0.48,0.995,0.9945,0.19,19.0577,Down,8.802999999999997,10.94,2822.08,98.08200000000001,-0.017,0.045,-0.051,-7.21,1,985.1,1612.48,1207.73,25.34430109,-0.002164853,-0.105075129,-0.151762599,,-8.99,-3.05,-0.73,0.004035114415695596,USDMXN,-0.004035114415695596,2836.7,2019-05-23 11:01:00,18.9808,1,0,0.0004999999999999449
33,2019-05-23 12:00:00,8.762,10.875,98.066,5.0,0.48,0.995,0.9945,0.19,18.9808,Up,8.833,10.935,2813.43,97.917,0.013,0.04,-0.21600000000000005,-15.86,0,985.84,1614.26,1206.14,68.25236734,0.002786742,0.026290053,0.131061599,,-8.25,-1.27,-2.32,0.002491991907611897,USDMXN,0.002491991907611897,2836.7,2019-05-23 12:04:00,19.0281,0,0,0.0004999999999999449
34,2019-05-23 13:56:00,8.762,10.875,98.066,6.0,0.48,0.995,0.9945,0.19,19.0281,Up,8.812999999999997,10.93,2810.22,97.89,-0.006999999999999999,0.035,-0.243,-19.07,1,984.55,1613.22,1206.42,71.76585451,0.000572452,0.051937968,0.030421761,,-9.54,-2.31,-2.04,0.003841686768516046,USDMXN,0.003841686768516046,2836.7,2019-05-23 15:24:00,19.1012,1,0,0.0004999999999999449
35,2019-05-24 09:34:00,8.913,10.985,97.833,1.0,0.0,0.8575,0.9873,-1.88,19.0408,Up,8.978,11.025,2839.97,97.774,-0.067,0.01,-0.097,1.53,0,990.08,1617.15,1205.12,66.67998734,-5.6508e-06,0.036695132000000005,0.022013848,,5.47,4.06,-0.97,0.002730977690013004,USDMXN,0.002730977690013004,2832.41,2019-05-24 09:42:00,19.0928,0,0,-0.12979999999999992
36,2019-05-24 12:30:00,8.913,10.985,97.833,2.0,0.0,0.8575,0.9873,-1.88,19.0928,Down,8.99,11.115,2829.74,97.632,-0.055,0.1,-0.239,-8.7,0,987.86,1617.87,1203.5,36.2665258,-1.91163e-05,-0.032010915,-0.018894166,,3.25,4.78,-2.59,0.002681639151931695,USDMXN,-0.002681639151931695,2832.41,2019-05-24 12:41:00,19.0416,0,0,-0.12979999999999992
37,2019-05-28 04:32:00,9.273,11.177,97.73899999999999,1.0,-0.33,0.8475,0.9503,-1.33,19.0616,Up,9.357999999999999,11.177999999999999,2826.06,97.74799999999999,-0.014,-0.005,-0.052000000000000005,0.0,0,987.58,1614.58,1204.98,64.3653416,0.000683628,0.034034621,0.07228574900000001,,-3.12,-1.88,0.03,0.0025653670206068602,USDMXN,0.0025653670206068602,2830.03,2019-05-28 05:05:00,19.1105,0,0,-0.1028
38,2019-05-28 10:52:00,9.273,11.177,97.73899999999999,2.0,-0.33,0.8475,0.9503,-1.33,19.1105,Up,9.225,11.177999999999999,2825.26,97.859,-0.147,-0.005,0.059,-5.67,1,988.4,1614.32,1206.43,79.56232799,0.00151496,0.056927681,0.142702567,,-2.3,-2.14,1.48,0.004285602155882943,USDMXN,0.004285602155882943,2830.03,2019-05-28 11:02:00,19.1924,1,0,-0.1028
39,2019-05-28 11:07:00,9.273,11.177,97.73899999999999,3.0,-0.33,0.8475,0.9503,-1.33,19.1924,Down,9.238,11.177999999999999,2831.14,97.854,-0.134,-0.005,0.054000000000000006,0.21,0,989.37,1614.98,1206.13,42.40317166,-0.003936548,-0.107998685,-0.206402652,,-1.33,-1.48,1.18,0.002417623642691818,USDMXN,-0.002417623642691818,2830.03,2019-05-28 11:11:00,19.146,0,0,-0.1028
40,2019-05-28 12:38:00,9.273,11.177,97.73899999999999,4.0,-0.33,0.8475,0.9503,-1.33,19.146,Up,9.263,11.293,2831.43,97.91799999999999,-0.109,0.11,0.118,0.5,0,988.26,1614.06,1207.13,75.69603856,0.002079955,0.029714274,0.111127922,,-2.44,-2.4,2.18,0.0026376266583098057,USDMXN,0.0026376266583098057,2830.03,2019-05-28 13:08:00,19.1965,0,0,-0.1028
41,2019-05-29 02:53:00,9.273,11.3,97.92299999999999,1.0,-0.11,0.84,0.9258,-1.33,19.1909,Up,9.36,11.312999999999999,2802.39,97.943,0.005,-0.01,0.026,-28.54,1,983.55,1609.64,1207.63,71.99178124,0.001973312,0.05409848,0.117634812,,-0.66,-2.33,0.59,0.0038664158533472204,USDMXN,0.0038664158533472204,2790.25,2019-05-29 05:08:00,19.2651,1,0,-0.08579999999999999
